City ST Country,Population (k),Elevation (m),Avg. Temp (C),High Temp (C),Low Temp (C),Rainfall (cm),Snowfall (cm),Rel. Humid (%),Wind (km/h),Continent,Lat (N/S),Lon (E/W)
Coeur_d_Alene ID USA,46,706,8.9,29.4,-5.5,64.1,117.3,59,12.1,North America,47.68,-116.78
Adana Turkey,1737,66,18,33,4,64,0,64,12,Middle East,36.99,35.33
Jinan SD China,4694,57,15,31,-3,64,1,57,14,Asia,36.66,117.02
Barcelona Spain,1602,6,15.5,28,4.4,64,0,72,12,Europe,41.39,2.17
Istanbul Turkey,14025,36,14,27,2,64,0,74.6,17,Middle East,41.01,28.98
Lille France,228,52,10.8,23.3,1.2,64,1,81,17,Europe,50.63,3.06
Christchurch NZ,366,34,11.6,22.6,0.6,64,2,77.5,14.8,Oceania,-43.53,172.64
Kuopio Finland,91,98,2,21,-12,64,12,82,5.8,Europe,62.90,27.68
Cuzco Peru,349,3248,12,20,1,64,0,62,17,South America,-13.53,-71.97
Copenhagen Denmark,562,4,8,20,-2,64,18,82.9,20,Europe,55.68,12.57
Inverness Scotland UK,47,9,8,17,1,64,3,78,16,Europe,57.48,-4.22
Toulouse France,442,163,13.8,28,2.4,63.8,0.5,74,7,Europe,43.60,1.44
Alexandria MN USA,12,434,5.7,27.1,-17.1,63.8,107.4,77,16.8,North America,45.88,-95.38
Paris France,2230,96,12.4,25.2,2.7,63.7,1,79.2,16,Europe,48.86,2.35
Hibbing MN USA,16,445,3.2,25.4,-20.7,63.4,153.7,79,12.9,North America,47.43,-92.94
Daugavpils Latvia,89,121,6,21,-8,63.4,8,80,14,Europe,55.87,26.54
Woodward OK USA,13,58,15.2,35.3,-5.4,63.1,40.9,59,19.3,North America,36.43,-99.39
Babruysk Belarus,217,157,5.9,24.4,-7.8,63.1,8,79,12.2,Europe,53.14,29.22
Annaba Algeria,257,3,17,30,7,63,0,74,17,Africa,36.93,7.75
Beijing BJ China,21516,54,12,30,-8,63,2,57,12,Asia,39.90,116.41
Marshall MN USA,14,359,6,29,-15,63,93,69,18.7,North America,44.45,-95.79
Mexico_City DF Mexico,8974,2233,17,26,7,63,0,58,16,Latin America,19.43,-99.13
Gomel Belarus,483,138,6.2,25.1,-7.1,63,6,77,12.2,Europe,52.44,30.99
Pecs Hungary,149,202,11,25,-2,63,3,70.5,9,Europe,46.07,18.23
Helsinki Finland,600,56,5,21,-9,63,12,79.6,16,Europe,60.17,24.94
Aarhus Denmark,320,24,7,20,-2,63,16,85.4,19,Europe,56.16,10.20
Joensuu Finland,58,118,2,20,-13,63,10,82,5.8,Europe,62.60,29.76
Montpellier France,257,4,15.1,29.3,2.8,62.9,13,70,8.6,Europe,43.61,3.88
Chernihiv Ukraine,290,136,7,23,-8,62.8,18,78.5,17,Europe,51.50,31.29
Chernivtsi Ukraine,255,246,7,24,-7,62.1,4,76,21.2,Europe,48.29,25.94
Rajkot GJ India,1287,133,26,40,10,62,0,56,8.8,Asia,22.30,70.80
Kona HI USA,12,5,23,29,18,62,0,72,13.8,North America,19.64,-156.00
Timisoara Romania,306,102,11,28,-5,62,4,82,6.3,Europe,45.75,21.21
Canberra ACT Australia,357,570,12,27,1,62,1,67.5,17,Oceania,-35.28,149.13
Budapest Hungary,1759,185,10,26,-3,62,3,70.4,16,Europe,47.50,19.04
Ljubljana Slovenia,272,361,8,25,-5,62,6,81.3,6,Europe,46.06,14.51
Strasbourg France,272,153,10,24,-1,62,3,77,12,Europe,48.57,7.75
Karlstad Sweden,62,46,6,22,-7,62,7,74,5.7,Europe,59.40,13.51
Liege Belgium,196,198,9,21,-1,62,5,78,9.3,Europe,50.63,5.58
Turku Finland,179,59,5,20,-8,62,10.5,80,12,Europe,60.45,22.27
Istaravshan Tajikistan,199,981,12.5,31,-4,61.9,2,55.2,10.4,Asia,39.88,69.03
Kragujevac Serbia,151,182,11.6,28.8,-2.6,61.9,3,72,5.4,Europe,44.01,20.91
Rostov Russia,1100,102,3.9,23.4,-14.1,61.8,19.7,79.7,8.2,Asia,57.20,39.41
Hays KS USA,21,608,12,33,-8,61.7,30.2,66,17.7,North America,38.88,-99.33
Pinsk Belarus,135,143,6.9,22,-6,61.7,7.7,79,12.6,Europe,52.11,26.06
Homer AK USA,5,18,3.7,16.2,-7.3,61.7,120.4,80,12.6,North America,59.64,-151.55
International_Falls MN USA,7,359,3.1,25.4,-21.4,61.5,180.3,71.7,12.9,North America,48.60,-93.40
Palermo Sicily Italy,656,34,18.5,28.8,10.1,61.1,0,71.5,19,Europe,38.12,13.36
Jaipur RJ India,3073,389,25.4,40.3,8.2,61,0,50,8,Asia,26.91,75.79
Chico CA USA,88,72,15,36,2,61,3.8,55,8,North America,39.73,-121.84
Dire_Dawa Ethiopia,607,1161,24,35,15,61,0,62,7.9,Africa,9.60,41.85
Avignon France,91,56,14,30,1,61,2,74,8.8,Europe,43.95,4.81
Mankato MN USA,41,306,8,30,-16,61,93,74,15.3,North America,44.16,-94.00
Dalian LN China,6690,96,11,26,-6,61,2,65,20,Asia,28.98,117.16
Changchun JL China,3368,238,5,26,-19,61,3,64.5,17,Asia,39.88,116.32
Kharbarovsk Russia,590,71,2,25,-23,61,30.2,69.5,19,Asia,48.52,135.10
Nuremberg Germany,495,318,8,23,-3,61,5,76,8,Europe,49.45,11.08
Kosice Slovakia,240,231,8,23,-5,61,6,73.5,19,Europe,48.72,21.26
Jyvaskyla Finland,133,139,3,22,-12,61,10.5,83,5.2,Europe,62.24,25.75
Lodz Poland,722,188,8,21,-4,61,8,80.4,16,Europe,51.76,19.46
Ternopil Ukraine,216,324,7,21,-7,61,4,79.5,17,Europe,49.55,25.59
Tartu Estonia,104,59,5.2,21,-8,61,9,80,14,Europe,58.38,26.73
Abilene TX USA,120,543,18.1,34.8,1.2,60.8,13.2,59.8,17.7,North America,32.45,-99.73
Brest Belarus,324,143,7.3,24.9,-4.9,60.8,6,78,10.8,Europe,52.10,23.73
Kaolack Senegal,411,1,28,37.2,15.2,60.6,0,55.5,19.1,Africa,14.17,-16.08
Iron_Mountain MI USA,8,349,5.2,26.3,-15.1,60.5,139,70.7,10.4,North America,45.82,-88.07
Steamboat_Springs CO USA,12,2108,3.8,28.1,-17.3,60.4,423.4,54,4.8,North America,40.48,-106.83
Sion Switzerland,29,481,9.2,26.1,-3.8,60.3,7,72,8.3,Europe,46.23,7.36
Vinnytsia Ukraine,370,298,9,24,-8,60.2,4,77,13,Europe,49.23,28.47
Kielce Poland,201,260,7,22,-5,60.1,6,79.5,14,Europe,50.87,20.63
Tambacounda Senegal,79,49,29,39,18,60,0,48.5,9,Africa,13.77,-13.67
Batman Turkey,382,533,15,38,-2,60,2,58,4.6,Middle East,37.89,41.13
Kearney NE USA,32,649,10,32,-11,60,71,64,18,North America,40.70,-99.08
Welkom South_Africa,211,1340,16,30,-1,60,1,56,6.9,Africa,-28.00,26.77
Rundu Namibia,63,1099,22,29,7,60,0,54,14,Africa,-17.93,19.75
Bitola Macedonia,72,588,11,27,-4,60,3,68,8,Europe,41.03,21.33
Oradea Romania,202,139,10,25,-3,60,2,79,16,Europe,47.05,21.92
Port_Elizabeth South_Africa,1152,60,18,24,10,60,0,77.5,25,Africa,-33.71,25.52
Thunder_Bay ON Canada,108,199,3,23,-20,60,108,79,6.5,North America,48.38,-89.25
Hannover Germany,514,54,8,22,-2,60,3,81,9.3,Europe,52.38,9.73
Orebro Sweden,130,31,6.4,21.7,-5.6,60,6.7,77,4.4,Europe,59.28,15.21
Hobart TAS Australia,206,2,12,21,4,60,0,64,9.7,Oceania,-42.88,147.33
Skovde Sweden,34,104,6,21,-5,60,8,77,13,Europe,58.39,13.85
Siauliai Lithuania,107,107,6,20,-6,60,6,79.5,12,Europe,55.93,23.31
Kuusamo Finland,16,263,1,20,-17,60,8,79,4.9,Europe,65.96,29.19
Nuuk Greenland,17,47,-1,9,-11,60,6,83.3,27,North America,64.18,-51.69
Sedona AZ USA,10,1471,8,27.8,-9.1,59.9,192.3,39,10.9,North America,34.87,-111.76
Jerez Spain,212,29,17.7,33.1,5.4,59.8,0,67,20,Europe,36.69,-6.13
Pristina Kosovo,477,575,9.8,26.7,-4.9,59.8,7,71,9,Europe,42.66,21.17
Grodno Belarus,350,137,6.5,23.9,-5.8,59.6,5,80,14,Europe,53.67,23.81
Prince_George BC Canada,74,691,4.3,22.4,-11.7,59.5,205.1,77,9.6,North America,53.92,-122.75
Monterrey NL Mexico,1131,495,22.3,34.8,8,59.1,0,66.5,17,Latin America,25.69,-100.32
Edirne Turkey,166,47,13,30,0,59,1,76,8.5,Middle East,41.68,26.56
Kazan Russia,1169,61,3.6,25,-15,59,8,78.3,8.5,Asia,55.83,49.07
Orleans France,114,125,10,24,-1,59,4,78,8.3,Europe,47.90,1.91
Cluj Napoca Romania,303,413,8,23,-6,59,4,78,8,Europe,46.77,23.62
Kirov Russia,481,163,2,23,-17,59,11.1,76,4.5,Asia,58.60,49.67
Tampere Finland,216,92,3,22,-11,59,7,78,4.9,Europe,61.50,23.76
Middlesbrough England UK,138,36,9.5,21,2,59,4,76,18,Europe,54.57,-1.23
Moscow Russia,11920,189,4,21,-11,59,24,80.8,16,Asia,55.76,37.62
Petrozavodsk Russia,267,39,2,19,-15,59,26,79,5.8,Asia,61.78,34.36
Ufa Russia,1075,104,3,24,-16,58.9,23.5,75,17,Asia,54.74,55.97
Bari Italy,314,43,15.7,28.4,5,58.6,0,70.6,12,Europe,41.12,16.87
Vladimir Russia,347,170,4.7,24.3,-11.5,58.4,25,79,12.6,Asia,56.14,40.42
Balikesir Turkey,333,102,14,30,1,58.3,1,69.5,19,Middle East,39.65,27.89
Huron SD USA,13,390,7.8,30,-14.1,58.2,111.5,71.2,16.9,North America,44.36,-98.21
Craiova Romania,294,195,11,27,-4,58.2,3,79.5,19,Europe,44.33,23.79
Ndjamena Chad,1092,295,28,39,17,58,0,44.6,12,Africa,12.13,15.06
Nis Serbia,187,202,11.9,30.1,-2.2,58,2,70,8,Europe,43.32,21.90
Perpignan France,117,47,15.7,29.2,4.4,58,3,66.5,25,Europe,42.69,2.89
Marseille France,851,35,15,28,2,58,5,69.6,22,Europe,43.30,5.37
Bucharest Romania,1913,90,11,27,-5,58,4,77.1,12,Europe,44.43,26.10
Bratislava Slovakia,414,129,10,26,-3,58,4,73.8,14,Europe,48.15,17.11
Cape_Town South_Africa,3740,42,17,25,8,58,0,74.2,25,Africa,-33.92,18.42
Wroclaw Poland,631,120,8,22,-3,58,6,77.5,16,Europe,51.11,17.04
Vaxjo Sweden,65,167,7.1,21.1,-3.9,58,5,78,4.9,Europe,56.88,14.81
Bialystok Poland,295,150,6,21,-6,58,6,81.7,12,Europe,53.13,23.17
Aalborg Denmark,203,3,7,20,-2,58,15,80.5,20,Europe,57.05,9.92
La_Paz Bolivia,790,4012,7,15,-1,58,4,64.6,14,South America,-16.49,-68.12
Birobidzhan Russia,84,80,3.6,26.6,-30.3,57.9,32,72.6,6.7,Asia,48.78,132.91
Matamoros TM Mexico,450,32,23,36.6,6.6,57.8,0,78,9.6,Latin America,25.83,-97.50
Reynosa TM Mexico,589,32,23,36.6,6.6,57.8,0,78,9.4,Latin America,27.47,-99.51
O_Neill NE USA,4,613,9.1,31.6,-12.3,57.8,77.2,70,17.5,North America,42.46,-98.65
Rhodes Greece,90,10,19.1,30.7,8.8,57.8,0,65.6,8.7,Europe,36.43,28.22
Malindi Kenya,207,22,26,30,22,57.8,0,78.5,17,Africa,-3.22,40.12
Rovaniemi Finland,58,101,0.6,19.4,-15.1,57.7,11,82,4.4,Europe,66.50,25.73
Bulawayo Zimbabwe,653,1325,20,28,9,57.6,0,58,17,Africa,-20.13,28.63
Poprad Slovakia,55,704,6.3,22.1,-8.4,57.6,7,77.9,5,Europe,49.05,20.30
Fargo ND USA,114,274,5.8,28.1,-17.7,57.4,127.3,70.2,18,North America,46.88,-96.79
Beja Portugal,36,247,15,32.8,5.3,57.2,0,77,7.6,Europe,38.02,-7.86
Burgos Spain,178,891,9,26.7,-1.2,57.2,1,72,8.2,Europe,42.34,-3.70
Bizerte Tunisia,568,3,17,31,7,57,0,73.5,17,Africa,37.27,9.86
Xian SX China,4468,397,13,30,-3,57,3,68,8,Asia,34.66,109.23
Almaty Kazakhstan,1365,846,10,30,-8.4,57,8,62,3.6,Asia,43.22,76.85
Sofia Bulgaria,1211,594,10,25,-3,57,5,72.5,14,Europe,42.70,23.32
Debrecen Hungary,205,111,10,25,-4,57,3,76.3,8,Europe,47.53,21.63
Perm Russia,1007,171,1.8,24.2,-16.2,57,27,76,10.8,Asia,58.03,56.27
Sucre Bolivia,300,2902,15,21,7,57,0,57.9,17,South America,-19.02,-65.26
Krakow Poland,759,236,7,21,-5,57,6,80,14,Europe,50.06,19.94
Corlu Turkey,273,183,12,28,1,56.8,0,64,8.2,Middle East,41.16,27.81
Samara Russia,1170,136,4.9,26.6,-17.2,56.7,25,72.1,11.7,Asia,53.24,50.22
Lipetsk Russia,509,176,5.1,23.7,-15.5,56.7,25,70.5,8.8,Asia,52.61,39.60
Berlin Germany,3671,47,9,22,-3,56.6,2,75.5,16,Europe,52.52,13.40
Vanadzor Armenia,105,1579,4.2,23.8,-18,56.5,6,50,5.1,Middle East,40.81,44.50
McAllen TX USA,137,32,24.2,36.7,10.4,56.4,0,72,17.1,North America,26.20,-98.23
Thief_River_Falls MN USA,9,339,3.3,26.7,-23.1,56.2,93.7,73.5,16.3,North America,48.12,-96.18
Watertown SD USA,22,532,6.1,28.1,-16.1,56.1,91.2,75,18.1,North America,44.90,-97.12
Odense Denmark,194,17,8,21,-1,56.1,12,80,20,Europe,55.40,10.40
Constantine Algeria,448,693,15,32,2,56,0,65.5,14,Africa,36.36,6.64
Dodoma Tanzania,411,1120,22,31,12,56,0,62,8.7,Africa,-6.16,35.75
Krasnodar Russia,774,28,11.3,29.9,-3.8,56,18,74,12.2,Asia,45.04,38.99
Isparta Turkey,223,996,11,29,-2,56,1,62.5,6,Middle East,37.76,30.55
Melbourne VIC Australia,4530,131,14,26,5,56,0,71,22,Oceania,-37.81,144.96
Miskolc Hungary,164,119,8,26,-6,56,5,79,6,Europe,48.10,20.78
Drayton_Valley AB Canada,7,843,3.7,22.9,-15.9,56,157.1,63,5.8,North America,53.22,-114.98
Rivne Ukraine,247,234,7,22,-6,56,3,78.5,17,Europe,50.62,26.25
Riga Latvia,644,3,6,20,-6,56,5,80.4,17,Europe,56.95,24.11
Gaziantep Turkey,1556,854,15,34,0,55.8,2,55.5,17,Middle East,37.07,37.38
Leon Spain,130,916,10.9,27.2,-0.8,55.6,1,68,7.1,Europe,42.60,-5.57
Jerusalem Israel,809,758,16,29.4,6.4,55.4,0,63.8,16,Middle East,31.77,35.21
Warroad MN USA,2,325,3,25.9,-22.8,55.4,95.2,76,12.8,North America,48.91,-95.31
Alexandroupolis Greece,73,3,15,30.3,1.3,55.3,1,67.6,7.1,Europe,40.85,25.87
Maiduguri Nigeria,1112,353,27,35,20,55.2,0,45.5,7.1,Africa,11.83,13.15
Aberdeen SD USA,27,399,6.1,28.6,-16.9,55.1,96.8,72.1,17.4,North America,45.46,-98.49
Magadan Russia,95,117,-3.2,14.8,-18.5,55.1,19,72,13,Asia,59.56,150.83
Broome WA Australia,15,17,26,34,13,55,0,63,14,Oceania,-17.96,122.24
Bahia_Blanca Argentina,302,82,15.1,30.8,2.6,55,0,67.6,22.5,South America,-38.72,-62.27
Bloemfontein South_Africa,256,1347,16,30,1,55,0,52.1,16,Africa,-29.09,26.16
Plovdiv Bulgaria,339,185,12,29,-2,55,5,71,20,Europe,42.14,24.75
Harbin HLJ China,4281,142,4,27,-23,55,3,66,16,Asia,45.80,126.53
Burgas Bulgaria,199,28,12,26,-1,55,4,78.8,17,Europe,42.50,27.46
Mannheim Germany,295,93,11,25,1,55,4,75.5,17,Europe,49.49,8.47
Chongjin North_Korea,615,42,8,25,-8,55,2,70,8,Asia,41.77,129.72
Bryansk Russia,412,217,5,21,-10,55,24,78,17,Asia,53.26,34.42
Dodge_City KS USA,28,786,13,33.8,-6.6,54.9,53.6,62.4,21.4,North America,37.75,-100.02
Vienna Austria,1864,177,11.4,26.7,-0.8,54.8,55,72,14,Europe,48.21,16.37
Catania Sicily Italy,292,17,17.3,32,5.3,54.7,0,69.9,12,Europe,37.51,15.08
La_Paz BS Mexico,215,2248,16.4,27.4,3.9,54.7,0,60,6.4,Latin America,24.14,-110.31
Penza Russia,320,174,4.5,26.4,-15,54.5,20,76,15.1,Asia,53.23,45.00
Uppsala Sweden,186,41,5,21.1,-7.2,54.5,7.5,82.9,4.6,Europe,59.86,17.64
Winner SD USA,3,600,9.7,32.3,-11.6,54.4,104.9,66,20.1,North America,43.38,-99.86
Stanley Falkland_Islands,3,72,6,14,0,54.4,0,78.5,27,South America,-51.70,-57.85
Al_Baydah Libya,250,625,17,29.6,5.8,54.3,0,60.4,13,Africa,32.76,21.74
Blagoveshchensk Russia,217,136,1.6,27.3,-26.2,54.3,28,67,7.2,Asia,50.27,127.54
Niamey Niger,1303,227,29,40,17,54.1,0,41,16,Africa,13.51,2.13
Culiacan SI Mexico,609,50,24,35,10,54,0,65,5,Latin America,24.81,-107.39
Santiago_del_Estero Argentina,245,199,20.4,33.9,5.6,54,0,67.1,8.9,South America,-27.78,-64.26
Cucuta Colombia,650,316,26,32,21,54,0,65,5.1,South America,7.89,-72.50
Willemstad Curacao,150,67,28,31,24,54,0,80.4,25,South America,12.12,-68.88
Esmeraldas Ecuador,162,7,26,28,23,54,0,84.5,8,South America,0.97,-79.65
Pleven Bulgaria,105,71,11,28,-3,54,5,79.5,17,Europe,43.42,24.61
Rabat Morocco,578,74,17,26,7,54,0,73,9,Middle East,33.97,-6.85
Warsaw Poland,1711,106,8,22,-4,54,5,80,17,Europe,52.23,21.01
Jonkoping Sweden,123,99,6,21,-5,54,5,77,4.8,Europe,57.78,14.16
Shymkent Kazakhstan,567,513,12.7,34,-5,53.9,6,57.2,9,Asia,42.34,69.59
Usak Turkey,500,918,12,28,-1,53.9,2,65,8,Middle East,38.67,29.41
Dnipropetrovsk Ukraine,988,142,9,28,-6.3,53.9,5,75,16.2,Europe,48.46,35.05
Stockholm Sweden,789,60,6,21,-6,53.9,8,77,14,Europe,59.33,18.07
Haifa Israel,271,9,20,31.4,8.9,53.8,0,66.3,19,Middle East,32.79,34.99
Lublin Poland,348,239,7,21,-5,53.8,5,80,14,Europe,51.25,22.57
San_Francisco CA USA,837,39,14.1,19.3,7.6,53.8,0,74,13,North America,37.77,-122.42
Cordoba Spain,327,90,17.6,36.2,3.7,53.6,0,62,6.1,Europe,37.89,-4.78
Quesnel BC Canada,10,545,5.5,24.1,-10.8,53.6,162.1,77,5.9,North America,52.98,-122.49
Seville Spain,697,31,18.6,35.3,5.2,53.4,0,61,14,Europe,37.39,-5.98
Aguascalientes AG Mexico,723,1870,18.5,30.7,4.5,53.1,0,58,6.5,Latin America,21.89,-102.29
Dushanbe Tajikistan,756,823,15,35,0,53,1,56,4.6,Asia,38.56,68.79
Tel_Aviv Israel,2979,49,20,31,7,53,0,68.8,12,Middle East,32.09,34.78
Valletta Malta,423,91,18,30,9,53,0,75.8,17,Europe,35.90,14.51
Spearfish SD USA,11,1138,8.4,29.5,-9.9,53,155.4,63.5,14.6,North America,44.49,-103.86
Polokwane South_Africa,130,1315,18.8,28.9,5,53,0,60.4,6.9,Africa,-23.90,29.45
Simferopol Ukraine,332,204,10,26,-2,53,1,71.5,19,Europe,44.95,34.10
Geelong VIC Australia,180,17,14,25,5.2,53,0,66.5,10.6,Oceania,-38.15,144.36
Szczecin Poland,409,3,8,22,-2,53,3,83.3,14,Europe,53.43,14.55
Vasteras Sweden,133,31,6,21,-6,53,6,78.3,14,Europe,59.61,16.54
Saint_Petersburg Russia,4991,20,4.1,21,-9,53,21,80.4,12,Asia,59.93,30.34
Gavle Sweden,71,14,4,20,-8,53,7,78,5.8,Europe,60.67,17.14
Umea Sweden,112,14,2,18,-12,53,8,80.4,12,Europe,63.83,20.26
Durango DU Mexico,464,1900,16.9,30.4,1.3,52.9,0,64,5.9,Latin America,24.56,-104.66
Balti Moldova,145,161,9.2,26.2,-7.5,52.9,4,72,7.6,Europe,47.75,27.92
Plzen Czech_Republic,167,363,8,22,-3,52.9,5,76.5,16,Europe,49.74,13.37
Nuevo Laredo TM Mexico,374,129,22.8,36.8,6.4,52.8,0,61,9.2,Latin America,27.46,-99.52
Santiago_de_Queretaro QE Mexico,805,1871,18.9,30.7,7.1,52.8,0,53,6.5,Latin America,20.59,-100.41
Grand_Forks ND USA,55,278,4.4,27.2,-19.5,52.8,119.6,66,17.4,North America,47.93,-97.03
Zilina Slovakia,85,314,7,22,-6,52.8,5,77.5,9,Europe,49.22,18.74
Ushuaia Argentina,60,3,5.8,15,-1.4,52.8,2,79.7,13.6,South America,-54.80,-68.30
Eagle_Pass TX USA,28,238,21.7,37.6,4.2,52.7,1,64,10.5,North America,28.71,-100.50
Malaga Spain,567,7,18,30.3,7.3,52.4,0,66,17,Europe,36.72,-4.42
Caceres Spain,96,394,16.1,33,4,52.3,0,58,6.9,Europe,39.48,-6.37
Tsumeb Namibia,20,1310,22,32,8,52,0,41,7.5,Africa,-19.24,17.73
Payson AZ USA,15,1478,11,32,-6,52,54,37,9.1,North America,34.23,-111.33
Gaborone Botswana,232,999,21,30,7,52,0,59.5,12,Africa,-24.63,25.92
Tianjin TJ China,6860,4,13,30,-6,52,3,59.5,14,Asia,39.34,117.36
Mariupol Ukraine,458,65,9.2,27.2,-6.1,52,4,79.6,10.5,Europe,47.10,37.54
Voronezh Russia,997,163,6,23,-11,52,16,75,16,Asia,51.68,39.21
Izhevsk Russia,631,157,2,23,-16,52,26.4,75,16,Asia,56.86,53.23
Kotka Finland,55,27,4,20,-9,52,8,86,7.3,Europe,60.47,26.95
Asmara Eritrea,804,2355,17,22,11,51.9,0,56,17,Africa,15.32,38.93
Napa CA USA,79,10,13.7,27.7,2.1,51.8,0.2,78,12.9,North America,38.30,-122.29
Fes Morocco,1112,414,16,33.9,6.1,51.7,0,76,6.7,Africa,34.02,-5.01
Kharkiv Ukraine,1431,152,8.1,26.4,-7.3,51.6,6,74,14,Europe,49.99,36.23
North_Platte NE USA,25,845,9.3,31.2,-11.6,51.3,72.4,67.7,15.4,North America,41.14,-100.76
Khost Afghanistan,160,1181,16.8,38,1,51.1,0,54.7,6.7,Middle East,33.33,69.94
Lahore Pakistan,18570,214,24,38,8,51,0,61.7,6,Asia,31.52,74.36
Maracaibo Venezuela,1339,64,28,33,23,51,0,74.6,12,South America,10.65,-71.71
Shijiazhuang HB China,3367,84,13,32,-8,51,3,59,6,Asia,42.36,-83.07
Barquisimeto Venezuela,1001,613,25,30,19,51,0,76.5,16,South America,10.07,-69.35
Skopje Macedonia,536,231,12,30,-3,51,4,68,12,Europe,42.00,21.43
Iasi Romania,319,64,9,28,-8,51,4.5,76,7.4,Europe,47.16,27.60
West_Yellowstone MT USA,2,2025,2.8,26.5,-16,51,363,58.5,11.2,North America,44.66,-111.10
Winnipeg MB Canada,664,238,2,25,-21,51,113.7,71,19,North America,49.90,-97.14
Poznan Poland,552,92,8,22,-3,51,4,79.2,16,Europe,52.41,16.93
Brookings SD USA,23,498,6,22,-16,51,60,72,15.6,North America,44.31,-96.80
Vaasa Finland,66,3,3,19,-10,51,5,81.5,16,Europe,63.10,21.62
Hinton AB Canada,10,991,3.1,22.2,-15,50.8,120.9,62,4,North America,53.40,-117.57
Norrkoping Sweden,126,7,6,21,-6,50.8,6,78,17,Europe,58.59,16.19
Piedras_Negras CA Mexico,150,250,22.4,38.4,4.9,50.7,0,66,8,Latin America,28.69,-100.54
Amarillo TX USA,196,1096,14,32.9,-5.3,50.7,39.4,56.7,20.8,North America,35.22,-101.83
Cuenca Spain,56,945,12.6,30.7,-0.7,50.7,2,63,7.7,Europe,40.07,-2.14
Gdansk Poland,460,138,7,20,-4,50.7,5,81,20,Europe,54.35,18.65
Luhansk Ukraine,422,61,8,26,-8,50.3,12,72,19,Europe,48.57,39.31
Mopti Mali,2037,271,29,39,17,50,0,40,12,Africa,14.49,-4.20
Goodland KS USA,5,1112,10.8,32.2,-8.4,50,90.2,61.6,19.6,North America,39.35,-101.71
Volos Greece,144,6,16.2,31,2.8,50,0,65.9,9,Europe,39.36,22.94
Tbilisi Georgia,1118,489,12.9,30.8,-2.2,50,3,67.9,40,Middle East,41.72,44.83
La_Grande OR USA,13,826,10.2,30.4,-3,50,93.2,53.5,13.1,North America,45.32,-118.09
Szeged Hungary,162,82,11,27,-3,50,2,70.5,12,Europe,46.25,20.14
Valparaiso Chile,250,40,14,22,8,50,0,76,8.5,South America,-33.05,-71.61
Esquel Argentina,32,815,8,22,-2,50,3,64,22.4,South America,-42.91,-71.31
San_Angelo TX USA,97,577,18.6,35.2,0.4,49.6,7.9,59.1,15.8,North America,31.46,-100.44
Del_Rio TX USA,36,313,21.4,36.2,4.8,49.5,3,62,13.4,North America,29.37,-100.90
Feodosia Ukraine,69,25,12.3,29.1,-1.1,49.5,0,74,10.4,Europe,45.03,35.38
Sheridan WY USA,18,1208,7.2,29.2,-12.1,49.2,241.8,61.3,12.1,North America,44.80,-106.96
Donetsk Ukraine,945,225,8.5,27.3,-7,49.2,3,73,15.5,Europe,48.02,37.80
Diyarbakir Turkey,930,676,15,37,-2,49,0,55.5,9,Middle East,37.92,40.21
Huelva Spain,147,20,18.1,31.8,6.6,49,0,64,14,Europe,37.26,-6.94
Tarija Bolivia,234,1956,19,30,7,49,0,59,5.8,South America,-21.52,-64.73
Jamestown ND USA,15,456,5,27,-19,49,90,77,18.2,North America,46.91,-98.71
Gyor Hungary,128,115,10,25,-3,49,3,73,9,Europe,47.69,17.65
Chisinau Moldova,670,179,10,25,-5,49,4,71.7,12,Europe,47.01,28.86
Brno Czech_Republic,378,245,8,23,-3,49,3,73,14,Europe,49.20,16.61
Arkhangelsk Russia,350,13,0.6,21.8,-16.5,49,10,80,9.7,Asia,64.55,40.56
Ostersund Sweden,50,375,3,19,-10,49,9.5,82,4.5,Europe,63.18,14.64
Lulea Sweden,75,34,1,18,-14,49,6,76,12,Europe,65.58,22.16
Limnos Greece,32,3,15.9,29.3,4.2,48.7,0,70.3,9.4,Europe,39.92,25.14
Gyumri Armenia,122,1529,6,26,-14,48.6,5,50,6,Middle East,40.79,43.85
Red_Deer AB Canada,100,941,3.7,23.1,-16,48.6,105.9,78,7.5,North America,52.27,-113.81
Touba Senegal,529,48,28,40,19,48.5,0,50.9,6.5,Africa,14.87,-15.90
Heraklion Greece,141,39,18.7,28.7,8.9,48.3,0,63,8.3,Europe,35.34,25.14
Custer SD USA,2,1565,5.8,26.3,-10.5,48.3,117.3,59,11.2,North America,43.77,-103.60
Amritsar PB India,1133,229,23,41,4,48,0,63,4.6,Asia,31.63,74.87
Ogden UT USA,84,1459,10,30,-6,48,195,52.7,10.6,North America,41.22,-111.97
Lesosibirsk Russia,68,78,-1.9,24,-25,48,12,74,4.1,Asia,58.23,92.50
Kermanshah Iran,851,1483,14,37.8,-4.2,47.9,2,36,5.3,Middle East,34.33,47.08
Lubbock TX USA,240,991,15.6,33.8,-3.6,47.9,23.1,54.9,19.3,North America,33.58,-101.86
Tyumen Russia,622,101,1.5,24.3,-18.9,47.8,20.1,73,8.6,Asia,57.16,65.53
Kasserine Tunisia,439,674,16.1,34.6,1.4,47.7,0,60.8,11.4,Africa,35.08,8.66
Belcourt ND USA,2,60,2.4,26.1,-22.3,47.4,93.2,71,16.1,North America,48.84,-99.74
Brandon MB Canada,46,409,2.4,25.9,-23.7,47.4,101.4,76,9,North America,49.85,-99.95
